,formula,full_name,band_gap,formation_energy,nn_ave_eleneg,o2p_center_from_vbm,vacancy_formation_energy,charge,vacancy_index,vr_max,Eb_sum
0,Al2O3,Al2O3_Va_O1,6.039299999999999,-3.426551008000001,2.224895215865955,2.497321494687122,7.69421869999986,0,269,-2.8945619964631555,10.282703088187338
1,As2O3,As2O3_Va_O1,3.3312,-1.6290845505,2.745736482564582,3.6517666474416854,3.803732819999718,0,287,-1.150088447140494,7.552400983529943
2,As2O3,As2O3_Va_O2,3.3312,-1.6290845505,2.6515650881606163,3.61912449772006,3.756670709999875,0,383,-1.150088447140494,7.081817293565289
3,As2O3,As2O3_Va_O3,3.3312,-1.6290845505,2.6571443525075127,3.7018856453418607,3.7697533399999745,0,479,-1.150088447140494,7.131939691002804
4,B2O3,B2O3_Va_O1,6.3479,-2.79805631,2.522642750980837,3.1894952912738876,6.752125390000012,0,59,-2.1905056483979153,10.962948518045348
5,B2O3,B2O3_Va_O2,6.3479,-2.79805631,2.4919401604235785,3.2111856187427152,6.3722730700000145,0,47,-2.1905056483979153,10.872965767798396
7,BeO,BeO_Va_O1,7.4735,-3.1028558024999997,1.7045243414171556,2.56383046489316,8.244733159999564,0,299,-3.156179192239042,12.272995096389756
8,Bi2O3,Bi2O3_Va_O1,2.1518000000000006,-1.6417272149999995,2.5534711302971105,2.572681787528063,3.919661759999949,0,143,-0.9858147743813158,5.558325515459918
9,Bi2O3,Bi2O3_Va_O2,2.1518000000000006,-1.6417272149999995,2.5818292627200585,2.4718292317832677,4.028562429999861,0,191,-0.9858147743813158,4.878119841026061
10,Bi2O3,Bi2O3_Va_O3,2.1518000000000006,-1.6417272149999995,2.523204218589346,2.561136419992206,4.10182348999991,0,239,-0.9858147743813158,6.196910505177226
13,CaO,CaO_Va_O1,3.5479,-3.3060156124999995,1.0,1.2018086062036886,7.691605040000022,0,63,-3.2905001259273035,11.020274752984378
14,Ga2O3,Ga2O3_Va_O1,2.2114,-2.268996668999999,2.3894413671718,2.8345721001720285,4.668474750000096,0,95,-1.8812876656363955,7.3410265160065125
15,Ga2O3,Ga2O3_Va_O2,2.2114,-2.268996668999999,2.3313459685068687,2.8870391212766604,5.298623480000069,0,127,-1.8812876656363955,9.106977200814203
16,Ga2O3,Ga2O3_Va_O3,2.2114,-2.268996668999999,2.4005128617292173,2.4635876701348796,5.068348539999997,0,159,-1.8812876656363955,7.238438154319156
17,GeO2,GeO2_Va_O1,3.0522,-2.077037438333334,2.725,2.262441673488334,3.65275514999997,0,71,-1.502819088333178,7.521512384777801
18,K2O,K2O_Va_O1,1.7232,-1.2478575836666663,0.82,0.3385650409912411,4.534054169999999,0,95,-1.8820736227458112,8.232302709535245
19,Li2O,Li2O_Va_O1,4.8772,-2.061597913888889,0.98,1.168204519962669,7.427469659999995,0,95,-3.1005489752967774,12.056796778720049
20,MgO,MgO_Va_O1,4.6587,-3.0533666124999996,1.31,1.800415362880493,7.610649820000001,0,63,-3.116950431898758,10.345144576146483
