,formula,defectid,dH_eV_per_atom,dH_eV_per_atom_min,adjusted_dH
0,Al2Co1O4,0009491,-2.9223,-2.9223,0.0
1,Al2Mg1O4,0009494,-3.4035,-3.4035,0.0
2,Al2Ni1O4,0009499,-2.8385,-2.8385,0.0
3,Al2Ni1O4,0009499,-2.8385,-2.8385,0.0
4,Al2O3,0009540,-3.4386,-3.4386,0.0
5,Al2Mn1O4,0009572,-3.0763,-3.0763,0.0
6,Al2O3,0009576,-3.4386,-3.4386,0.0
7,Ba1O1,0009594,-2.8604,-2.8604,0.0
8,Ca1O1,0009596,-3.2722,-3.2722,0.0
9,Co3O4,0009648,-1.4802,-1.4802,0.0
10,Fe1O1,0009684,-1.5245,-1.5245,0.0
11,Fe2Mg1O4,0009694,-2.1184,-2.1601,0.04170000000000007
12,Fe2O3,0009808,-1.7362,-1.7362,0.0
13,In2Mn1O4,0009859,-1.9435,-1.9435,0.0
14,In2O3,0009889,-1.8959,-1.8959,0.0
15,Co1In2O4,0009921,-1.7345,-1.7345,0.0
16,In2Mg1O4,0009931,-2.2207,-2.2207,0.0
17,In2Ni1O4,0009944,-1.6912,-1.6912,0.0
18,In2Ni1O4,0009944,-1.6912,-1.6912,0.0
19,Mg1O1,0009973,-3.1293,-3.1293,0.0
20,Ni1O1,0010021,-1.3255,-1.3255,0.0
21,O1Sr1,0010079,-3.1082,-3.1082,0.0
22,Ba1O3Ti1,0010375,-3.3675,-3.3675,0.0
23,Ba1O3Ti1,0010375,-3.3675,-3.3675,0.0
24,Co1O1,0010389,-1.4573,-1.4594,0.0020999999999999908
25,Mn1O1,0010438,-2.0487,-2.0503,0.0015999999999998238
26,Co1O1,0010528,-1.4594,-1.4594,0.0
27,O3Sr1Ti1,0010541,-3.4312,-3.4312,0.0
28,O2Ti1,0010549,-3.2746,-3.2746,0.0
29,Mn1O1,0010576,-2.0503,-2.0503,0.0
30,O2Ti1,0010720,-3.2537,-3.2746,0.02090000000000014
31,O2Ti1,0010731,-3.1904,-3.2746,0.08420000000000005
32,Mg1Mn2O4,0011233,-2.373,-2.373,0.0
33,Mn3O4,0011304,-2.0848,-2.0848,0.0
34,Fe2Ni1O4,0011562,-1.6407,-1.6407,0.0
35,Fe2Ni1O4,0011562,-1.6407,-1.6407,0.0
36,Fe2Ni1O4,0011580,-1.5347,-1.6407,0.1060000000000001
37,Fe2Ni1O4,0011580,-1.5347,-1.6407,0.1060000000000001
38,Mn1O2,0011671,-1.7633,-1.7844,0.021099999999999897
39,Mn2Ni1O4,0011752,-1.8038,-1.8038,0.0
40,Mn2Ni1O4,0011752,-1.8038,-1.8038,0.0
41,O2Ti1,0011764,-3.2614,-3.2746,0.013199999999999878
42,O2Ti1,0011764,-3.2614,-3.2746,0.013199999999999878
43,Mn2Ni1O4,0011908,-1.7822,-1.8038,0.021600000000000064
44,Mn2Ni1O4,0011908,-1.7822,-1.8038,0.021600000000000064
45,Fe2Mg1O4,0011911,-2.1601,-2.1601,0.0
46,Fe2Mg1O4,0011911,-2.1601,-2.1601,0.0
