,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb,charge,vacancy_index
0,Ag2BiO3,Ag2BiO3_Va_O1,12.922059666666668,11.664903333333331,0.4495999999999993,0.1048711605474428,0.0,0.6393214486049811,0.2558073908475758,-0.9207718288888884,0.4197220105353449,0.0,0.4886393877144873,0.0916386017501673,-2.3186166666666668,-1.33899,15.993049,1.7379205091890484,0.9791650761390974,2.2889819512441867,5.072610000000001,3.076569,2.02,1.0425766666666667,0.5549809999999997,1.93,3.1226430495135507,0.3670421883801414,0.4170981067920613,0.2158597048277973,1.636971740000158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,287
1,Ag2BiO3,Ag2BiO3_Va_O2,12.922059666666668,11.664903333333331,0.4495999999999993,0.1048711605474428,0.0,0.6393214486049811,0.2558073908475758,-0.9207718288888884,0.4197220105353449,0.0,0.4886393877144873,0.0916386017501673,-2.491476666666667,-1.3225319999999998,13.846707,1.507305638493373,0.8532040012330449,2.294549722669377,5.072610000000001,3.076569,2.02,1.0425766666666667,0.5860850000000006,1.93,3.63038471462147,0.309797636414665,0.4672434659747013,0.2229588976106337,2.3498697200001377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,359
2,Ag2BiO3,Ag2BiO3_Va_O3,12.922059666666668,11.664903333333331,0.4495999999999993,0.1048711605474428,0.0,0.6393214486049811,0.2558073908475758,-0.9207718288888884,0.4197220105353449,0.0,0.4886393877144873,0.0916386017501673,-2.24946,-1.2783119999999997,13.43845,1.5759115282654594,0.8777926616079049,2.2652260903669967,5.072610000000001,3.074522,2.02,1.0425766666666667,0.5498969999999996,1.93,3.5244642768484287,0.3143966550106541,0.482338185111175,0.2032651598781708,2.222248000000386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,431
3,Ag2HgO2,Ag2HgO2_Va_O1,9.138385333333334,2.1458973333333335,0.407,0.3976866025460839,0.0,0.4126859226064677,0.1896274748474478,-0.4596982191666665,0.5755242129217274,0.0,0.3355791234369339,0.0888966636413388,-1.867816666666667,-1.166583,13.481161,0.9724158671152744,0.5893794563623526,2.131592184154538,1.8956,1.0948569999999993,2.0,0.9200166666666668,0.611656,1.93,3.5233215092811725,0.0,0.5000056039604157,0.1156892891887274,1.7423184099999478,0.3843051068508568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,319
4,AgAuO2,AgAuO2_Va_O1,10.273909666666666,3.2848563333333334,0.5217,0.546481859071204,0.0,0.3777711657548637,0.0757469751739323,-0.4721402929166656,0.5440348024077697,0.0,0.3628978134844123,0.093067384107818,-1.465393333333333,-0.9331630000000004,11.543672,0.9972798594459378,0.6375096744217007,2.4581031543059733,1.8429633333333333,1.2161910000000002,3.44,-1.465393333333333,-0.9316440000000004,1.93,4.16347088489565,0.0,0.3825662373205904,0.1682983989683702,2.31297225999999,0.0,0.4491353637110393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,95
5,Al2Ge2O7,Al2Ge2O7_Va_O1,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.8875366666666669,-1.193829,12.641344,1.2399253377899504,0.8248410295275174,2.406341895839076,3.4584333333333332,2.216851,3.44,-1.90103,-1.2368880000000004,1.61,3.103427181710611,0.0,0.0,0.3821967891620815,5.416601799999976,0.0,0.0,0.2423044291811672,0.3754987816567512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,191
6,Al2Ge2O7,Al2Ge2O7_Va_O2,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.90103,-1.2368370000000004,12.960881,1.2735835225103402,0.8429595564578923,2.3974576458626684,3.4584333333333332,2.216851,3.44,-1.8875366666666669,-1.1942149999999998,1.61,3.101687405729366,0.0,0.0,0.37672783681692,5.411478320000137,0.0,0.0,0.2451142612192609,0.3781579019638191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,255
7,Al2Ge2O7,Al2Ge2O7_Va_O3,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.73212,-1.1317709999999996,15.599957,0.7798758860914605,0.4750407924435068,2.72604428315262,3.4584333333333332,2.216959,3.44,-1.7285700000000002,-1.207008,2.01,2.596100957120228,0.0,0.0,0.5069556605513958,3.8145812599999633,0.0,0.0,0.4707885608589151,0.0222557785896891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,287
8,Al2Ge2O7,Al2Ge2O7_Va_O4,3.204407,4.862990666666667,3.2978,0.001531569105471,0.0,0.2937459677722333,0.7047224631222961,-2.702367327272727,0.0215085013969584,0.0,0.9718579715966223,0.006633527006419,-1.7285700000000002,-1.206664,15.425847,0.760271318035256,0.5005306876201228,2.6131783167219456,3.4584333333333332,2.216851,3.44,-1.73212,-1.207008,1.61,2.043769290199058,0.0,0.0,0.4875975437453005,4.388867460000151,0.0,0.0,0.2771870291701144,0.2352154270845852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,351
9,Al2O3,Al2O3_Va_O1,3.2576206666666665,6.876356,6.039299999999999,0.0,0.0,0.1046163715744507,0.8953836284255493,-3.426551008000001,0.0,0.0,0.993313996991424,0.0066860030085758,-1.9625033333333333,-1.3659939999999997,10.579149,1.2952080860693655,0.9098292201933088,2.224895215865955,2.94375,2.072967,3.44,-1.9625033333333333,-1.3898070000000002,1.61,2.497321494687122,0.0,0.0,0.3360083146808497,7.69421869999986,0.0,0.0,0.0,0.6639916853191504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,269
