site,formula,full_name,valence,bv_sum_Crystal,bv_sum_nn,BVS_ratio,element
190,Al2Ge2O7,Al2Ge2O7_Va_O1,-2,-2.0719793697597826,-2.0719793697597826,1.0359896848798913,O
254,Al2Ge2O7,Al2Ge2O7_Va_O2,-2,-2.0948241746062357,-2.0948241746062357,1.0474120873031179,O
286,Al2Ge2O7,Al2Ge2O7_Va_O3,-2,-2.0335958997720756,-2.0335958997720756,1.0167979498860378,O
350,Al2Ge2O7,Al2Ge2O7_Va_O4,-2,-2.0179304870522605,-2.0179304870522605,1.0089652435261303,O
268,Al2O3,Al2O3_Va_O1,-2,-2.0020409782327584,-2.0020409782327584,1.0010204891163792,O
190,Al2PbO4,Al2PbO4_Va_O1,-2,-2.0997559038259754,-2.0997559038259754,1.0498779519129877,O
238,Al2PbO4,Al2PbO4_Va_O2,-2,-1.655878386540262,-1.8942513501437075,0.827939193270131,O
334,Al2PbO4,Al2PbO4_Va_O3,-2,-1.9700054099019706,-1.9700054099019708,0.9850027049509853,O
190,Al4Bi2O9,Al4Bi2O9_Va_O1,-2,-2.1664382566866527,-2.1664382566866527,1.0832191283433263,O
238,Al4Bi2O9,Al4Bi2O9_Va_O2,-2,-1.9651881306944035,-1.9804193466532292,0.9825940653472017,O
358,Al4Bi2O9,Al4Bi2O9_Va_O3,-2,-2.0314314649532057,-2.1312849919052357,1.0157157324766029,O
310,Al4Bi2O9,Al4Bi2O9_Va_O4,-2,-1.7172876805731385,-1.7172876805731385,0.8586438402865693,O
214,AlAsO4,AlAsO4_Va_O1,-2,-2.3551366618423257,-2.3551366618423257,1.1775683309211629,O
190,AlSbO4,AlSbO4_Va_O1,-2,-2.0739867661429185,-2.0739867661429185,1.0369933830714593,O
158,AlSbO4,AlSbO4_Va_O2,-2,-2.4439508906717546,-2.4439508906717546,1.2219754453358773,O
286,As2O3,As2O3_Va_O1,-2,-2.021079496189694,-2.0764879117237003,1.010539748094847,O
382,As2O3,As2O3_Va_O2,-2,-2.0039443571298388,-2.042301455431169,1.0019721785649194,O
478,As2O3,As2O3_Va_O3,-2,-2.042571910742372,-2.081966493383903,1.021285955371186,O
250,As2Pb3O8,As2Pb3O8_Va_O1,-2,-1.4681610785137362,-1.8749580104469092,0.7340805392568681,O
322,As2Pb3O8,As2Pb3O8_Va_O2,-2,-1.3434719965850705,-2.010574150733786,0.6717359982925353,O
394,As2Pb3O8,As2Pb3O8_Va_O3,-2,-1.347456176484183,-2.030379424820563,0.6737280882420915,O
466,As2Pb3O8,As2Pb3O8_Va_O4,-2,-1.4970476308971823,-2.0100552921834014,0.7485238154485911,O
62,As2PbO4,As2PbO4_Va_O1,-2,-1.9198628037462706,-1.9198628037462706,0.9599314018731353,O
78,As2PbO4,As2PbO4_Va_O2,-2,-1.8876371039858908,-1.8876371039858908,0.9438185519929454,O
